さ	394
ケータ	31
君	245
で	2131
は	3731
妖怪	837
探し	14
と	1845
参る	11
ます	1888
か	2882
うん	221
今日	199
何処	165
に	4454
行く	837
至る	3
所	230
潜む	15
て	5387
居る	1158
取り敢えず	24
外	48
出る	162
見る	743
バトル	43
つく	38
説明	13
為る	2392
よ	2368
御	1359
次	94
メンバー	8
サークル	5
を	2625
タッチ	2
回す	6
が	3325
チェンジ	2
ひい	6
さっ	6
技	6
選ぶ	19
ば	344
です	2173
モーション	2
タグ	2
テスト	27
マン	3
符	3
無茶	5
禁物	3
だ	6336
御座る	70
友達	198
の	8059
も	2359
悲しむ	6
ぞ	297
此の	938
人物	3
など	24
一切	4
関係	14
有る	813
ず	591
ウォッチ	70
本体	9
時計	27
機能	7
使用	3
設定	8
れる	435
時刻	2
変更	3
正しい	5
出来る	249
ない	1595
成る	699
可能	9
性	10
又	270
ゲーム	41
中	170
登場	2
や	267
妖術	2
物	336
危険	6
真似	2
下さる	111
んっ	95
凄い	147
イ	42
切れ	3
から	1318
い	232
うわ	40
こんな	244
捕まえる	47
た	4214
へえ	37
ボク	107
家	139
別荘	3
近く	61
森	2
其処	118
珍しい	26
昆虫	10
詰まり	10
レア	55
ね	2395
待つ	129
全部	47
オレ	296
けれど	561
な	1504
夏休み	82
自由	10
研究	18
採集	2
無い	852
け	45
えっ	182
ぁ	51
そう	696
どう	495
未だ	113
匹	56
てる	1254
女の子	44
大人しい	12
他	60
良い	963
庭	8
石	11
捲る	14
ムシ	2
集める	15
ギャ	2
ハハハ	9
ハ	17
もう	327
止める	94
為さる	66
一寸	223
言う	756
過ぎ	30
フン	11
って	811
ちゃんと	64
私	508
虫	72
くらい	89
自分	61
られる	153
ほう	11
うー	61
見せる	61
無理	51
たって	17
ぜ	203
今度	65
絶対	57
遣る	448
時	150
期待	13
困る	77
達	304
頼る	5
呉れる	578
協力	26
只今	5
天馬	2
練習	21
あっ	231
皆	123
ほら	21
順番	3
守る	37
先生	37
疲れ	9
様	509
かしら	165
はい	52
其れ	455
続ける	25
一杯	55
取る	98
クマ	65
カンチ	39
見返す	6
ううん	54
公園	75
探す	191
其の	296
前	145
母	98
さん	650
置く	106
ママ	37
伝える	29
虫捕り	21
来る	1045
気	277
付ける	75
帰り	13
遅い	30
分かる	224
昨日	14
書く	21
忘れる	127
毎日	45
後	102
思い出す	38
わ	663
とく	51
よし	43
へ	87
出発	6
良し	21
ク	10
良く	127
彼れ	54
あれ	93
木	22
調べる	57
取れる	32
ヤツ	67
見付かる	110
今	194
虫籠	2
光る	10
所為	39
学校	92
用務	2
員	10
事	673
何	1120
知る	127
話	179
聞く	273
おや	60
通う	15
自然	10
集まる	20
重る	76
山	97
なんか	48
折角	58
此れ	557
上げる	251
使う	101
易い	10
場所	96
裏	35
北	5
真っ直ぐ	6
先	75
余り	55
山奥	2
まで	191
過ぎる	66
辺り	93
寄る	5
見付ける	152
辛い	21
じっくり	4
奥	27
し	275
辺	74
さっき	75
締まる	6
こっそり	8
知れる	126
なんて	248
大きい	18
わあ	17
ナ	42
声	72
入れる	69
うう	170
此奴	35
円	25
此処	412
きゃあ	13
名前	39
ウィスパー	57
ぃ	132
溶解	5
年	23
或る	5
坊	6
空く	45
封印	13
長い	26
否	84
変	110
起こす	5
ちゃう	448
関わる	5
方	178
返る	169
程度	5
ちょい	9
バ	6
ばれる	7
最後	32
忙しい	46
フッフッフ	7
ッ	28
だけ	162
満足	13
もっと	97
面白い	68
如何	13
フフ	11
貴方	206
差し上げる	10
身	10
七	17
姿	30
見える	109
ええ	81
否々	11
たい	358
まあまあ	7
何々	11
やや	3
っ	172
反応	4
やら	83
彼方	14
怪しい	53
おっと	14
失礼	12
腕	14
胸	5
下げる	4
横	11
ボタン	4
押す	3
頂く	20
フタ	2
開く	21
レンズ	16
通す	15
コ	22
コイツ	16
若し	126
トホホ	22
気持ち	46
眠る	33
邪魔	44
仕返し	2
怒る	51
せる	161
仕舞う	145
襲う	15
そんな	223
問題	27
こそ	64
呼び出す	23
セミ	18
御覧	6
かし	2
ああ	88
変身	3
セッ	10
車	94
丸	4
申す	6
ミン	12
普段	9
何の	20
見事	13
ミーン	13
彫る	4
有り難う	174
メダル	23
おお	79
貰う	173
中々	73
センス	5
持つ	204
証し	12
直ぐ	93
飛ぶ	11
駆け付ける	2
完全	3
ゴメン	19
お主	53
相手	30
致す	14
手	79
加減	14
本気	15
出す	68
しか	58
張り切る	10
頑張る	79
アア	41
びっくり	7
行成	19
もの	24
負ける	42
食べる	173
体	32
青い	6
マズイ	4
幾ら	17
悪い	170
許す	32
此方	50
キミ	148
優しい	10
又々	8
執事	43
鼻	5
高い	22
